"","Alias","Member","TotalIssues","TotalIssues60s","TotalIssues70s","TotalIssues80s","TotalIssues90s","totalIssueCheck","TotalValue_heritage","TotalValue60s_heritage","TotalValue70s_heritage","TotalValue80s_heritage","TotalValue90s_heritage","TotalValue_ebay","TotalValue60s_ebay","TotalValue70s_ebay","TotalValue80s_ebay","TotalValue90s_ebay","60s_Appearance_Percent","70s_Appearance_Percent","80s_Appearance_Percent","90s_Appearance_Percent","PPI60s_heritage","PPI70s_heritage","PPI80s_heritage","PPI90s_heritage","PPI60s_ebay","PPI70s_ebay","PPI80s_ebay","PPI90s_ebay","TotalValue60s_wiz","TotalValue70s_wiz","TotalValue80s_wiz","TotalValue90s_wiz","TotalValue60s_oStreet","TotalValue70s_oStreet","TotalValue80s_oStreet","TotalValue90s_oStreet","PPI60s_wiz","PPI70s_wiz","PPI80s_wiz","PPI90s_wiz","PPI60s_oStreet","PPI70s_oStreet","PPI80s_oStreet","PPI90s_oStreet"
"1","Angel","Warren Worthington",139,61,35,20,23,139,1108558,929056,154585,23957,960,27377,23335,3362,583,97,"96.83%","50.72%","14.60%","51.11%",1523043,441671,119785,4174,38254,9606,2915,422,791300,110500,22600,6575,6816000,736000,97500,12300,12972,3157,1130,286,111738,21029,4875,535
"2","Beast","Hank McCoy",119,62,38,9,10,119,957993,929776,20705,6631,881,24972,23377,1224,289,82,"98.41%","55.07%","6.57%","22.22%",1499639,54487,73678,8810,37705,3221,3211,820,795300,85100,8900,3850,6839000,526000,43100,8100,12827,2239,989,385,110306,13842,4789,810
"3","Cyclops","Scott Summers",197,63,69,56,9,197,1152230,933616,188635,29240,739,29964,23420,5431,1031,82,"100.00%","100.00%","40.88%","20.00%",1481930,273384,52214,8211,37175,7871,1841,911,799300,197900,43800,3925,6859000,1167500,142700,7400,12687,2868,782,436,108873,16920,2548,822
"4","Iceman","Bobby Drake",123,62,35,6,20,123,1086749,929776,154585,1514,874,26902,23377,3362,70,93,"98.41%","50.72%","4.38%","44.44%",1499639,441671,25233,4370,37705,9606,1167,465,795300,110500,4800,6200,6839000,736000,13700,10800,12827,3157,800,310,110306,21029,2283,540
"5","Phoenix","Jean Grey",164,63,58,14,29,164,1132091,933616,179899,16868,1708,29158,23420,4903,665,170,"100.00%","84.06%","10.22%","64.44%",1481930,310171,120486,5890,37175,8453,4750,586,799300,167900,16500,10800,6859000,1026500,82200,18900,12687,2895,1179,372,108873,17698,5871,652
"6","Havok","Alex Summers",68,8,13,43,4,68,189014,34519,144946,9352,197,4050,745,2703,581,21,"12.70%","18.84%","31.39%","8.89%",431488,1114969,21749,4925,9313,20792,1351,525,34200,59700,25300,1900,185000,386500,50200,2400,4275,4592,588,475,23125,29731,1167,600
"7","Polaris","Lorna Dane",48,9,13,19,7,48,228558,76279,144946,6602,731,4361,1212,2703,405,41,"14.29%","18.84%","13.87%","15.56%",847544,1114969,34747,10443,13467,20792,2132,586,37400,59700,11600,4300,2e+05,386500,29300,4400,4156,4592,611,614,22222,29731,1542,629
"8","Storm","Ororo Munroe",190,0,36,121,33,190,227438,0,171050,54205,2183,6413,0,4349,1730,334,"0.00%","52.17%","88.32%","73.33%",0,475139,44798,6615,0,12081,1430,1012,0,122400,93100,15800,0,689000,239100,27300,0,3400,769,479,0,19139,1976,827
"9","Nightcrawler","Kurt Wagner",120,0,36,84,0,120,221716,0,171050,50666,0,5694,0,4349,1345,0,"0.00%","52.17%","61.31%","0.00%",0,475139,60317,0,0,12081,1601,0,0,122400,73600,0,0,689000,204400,0,0,3400,876,0,0,19139,2433,0
"10","Wolverine","Logan Howlett",167,0,36,115,16,167,224653,0,171050,52524,1079,6118,0,4349,1669,100,"0.00%","52.17%","83.94%","35.56%",0,475139,45673,6744,0,12081,1451,625,0,122400,90800,11100,0,689000,231000,11900,0,3400,790,694,0,19139,2009,744
"11","Colossus","Peter Rasputin",169,0,36,110,23,169,224661,0,171050,52575,1036,6043,0,4349,1604,90,"0.00%","52.17%","80.29%","51.11%",0,475139,47795,4504,0,12081,1458,391,0,122400,87500,7200,0,689000,228400,13000,0,3400,795,313,0,19139,2076,565
"12","Banshee","Sean Cassidy",74,7,40,9,18,74,220055,39200,171962,7331,1562,5812,910,4443,317,142,"11.11%","57.97%","6.57%","40.00%",560000,429905,81456,8678,13000,11108,3522,789,34700,130400,7400,11900,214000,743000,23600,15200,4957,3260,822,661,30571,18575,2622,844
"13","Sunfire","Shiro Yoshida",10,0,6,1,3,10,142088,0,141872,143,73,2596,0,2584,1,11,"0.00%","8.70%","0.73%","6.67%",0,2364533,14300,2433,0,43067,100,367,0,46600,500,800,0,308500,900,1200,0,7767,500,267,0,51417,900,400
"14","Thunderbird","John Proudstar",3,0,3,0,0,3,138380,0,138380,0,0,2375,0,2375,0,0,"0.00%","4.35%","0.00%","0.00%",0,4612667,0,0,0,79167,0,0,0,41000,0,0,0,292500,0,0,0,13667,0,0,0,97500,0,0
"15","Shadowcat","Kitty Pryde",73,0,0,66,7,73,40655,0,0,40655,0,963,0,0,963,0,"0.00%","0.00%","48.18%","15.56%",0,0,61598,0,0,0,1459,0,0,0,62700,0,0,0,145800,0,0,0,950,0,0,0,2209,0
"16","Rogue","Anna Marie LeBeau",85,0,0,77,8,85,11188,0,0,10730,458,624,0,0,598,26,"0.00%","0.00%","56.20%","17.78%",0,0,13935,5725,0,0,777,325,0,0,49800,3500,0,0,83200,5100,0,0,647,438,0,0,1081,638
"17","Askani","Rachel Summers",24,0,0,23,1,24,16643,0,0,16187,456,294,0,0,244,50,"0.00%","0.00%","16.79%","2.22%",0,0,70378,45600,0,0,1061,5000,0,0,18400,800,0,0,40100,3000,0,0,800,800,0,0,1743,3000
"18","Eric Magnus","Eric Magnus",41,13,7,18,3,41,603328,582934,3479,16696,219,16410,15957,231,207,15,"20.63%","10.14%","13.14%","6.67%",4484108,49700,92756,7300,122746,3300,1150,500,418000,14000,20900,2200,4558000,87000,34500,2200,32154,2000,1161,733,350615,12429,1917,733
"19","Dazzler","Alison Blaire",45,0,0,43,2,45,7268,0,0,7198,70,558,0,0,552,6,"0.00%","0.00%","31.39%","4.44%",0,0,16740,3500,0,0,1284,300,0,0,28600,1100,0,0,56700,1400,0,0,665,550,0,0,1319,700
"20","Longshot","Longshot",35,0,0,35,0,35,2893,0,0,2893,0,344,0,0,344,0,"0.00%","0.00%","25.55%","0.00%",0,0,8266,0,0,0,983,0,0,0,19900,0,0,0,30700,0,0,0,569,0,0,0,877,0
"21","Forge","Jonathan Silvercloud",39,0,0,11,28,39,3710,0,0,1670,2040,243,0,0,45,198,"0.00%","0.00%","8.03%","62.22%",0,0,15182,7286,0,0,409,707,0,0,5600,14600,0,0,9100,21000,0,0,509,521,0,0,827,750
"22","Gambit","Remy LeBeau",17,0,0,0,17,17,1519,0,0,0,1519,255,0,0,0,255,"0.00%","0.00%","0.00%","37.78%",0,0,0,8935,0,0,0,1500,0,0,0,10900,0,0,0,18800,0,0,0,641,0,0,0,1106
"23","Jubilee","Jubilation Lee",23,0,0,6,17,23,1592,0,0,442,1150,217,0,0,116,101,"0.00%","0.00%","4.38%","37.78%",0,0,7367,6765,0,0,1933,594,0,0,4700,11200,0,0,8600,12600,0,0,783,659,0,0,1433,741
"24","Red Bishop","Lucas Bishop",16,0,0,0,16,16,729,0,0,0,729,65,0,0,0,65,"0.00%","0.00%","0.00%","35.56%",0,0,0,4556,0,0,0,406,0,0,0,3600,0,0,0,8000,0,0,0,225,0,0,0,500
"25","Captain Britain","Betsy Braddock",59,0,0,45,14,59,6603,0,0,5573,1030,585,0,0,490,95,"0.00%","0.00%","32.85%","31.11%",0,0,12384,7357,0,0,1089,679,0,0,31600,10600,0,0,46800,10900,0,0,702,757,0,0,1040,779
"26","Professor X","Charles Xavier",169,39,46,61,23,169,1029099,819537,166297,42197,1068,26843,21224,4415,1121,83,"61.90%","66.67%","44.53%","51.11%",2101377,361515,69175,4643,54421,9598,1838,361,7e+05,145300,51100,6600,6309500,914500,167300,12500,17949,3159,838,287,161782,19880,2743,543
